column,type,description,unit,range,missing_value_policy
filename,string,Video filename (contains label prefix LIE_/TRUTH_),-,-,N/A
text_indonesian_original,string,Original transcript in Indonesian,-,-,empty string if failed
text_indonesian_normalized,string,Transcript with numbers converted to words,-,-,empty string if failed
label,integer,Ground truth label,-,"0=truth, 1=lie",N/A
dataset,string,Dataset identifier,-,I3D,N/A
transcript_source,string,Source of transcript,-,manual/stt/stt_ultra/failed,failed
transcript_from_cache,boolean,Whether transcript loaded from cache,-,true/false,false
transcript_attempt,integer,STT attempt number that succeeded,-,0-7,0
transcript_mode,string,Extraction mode,-,normal/ultra/manual,normal
stt_energy_threshold,float,Energy threshold used in successful STT attempt,-,>=0,0
char_count_id,integer,Character count (Indonesian),characters,>=0,0
word_count_id,integer,Word count (Indonesian),words,>=0,0
sentiment_id,float,"Sentiment polarity (PROXY ONLY - TextBlob is English-based, not computed for Indonesian)",-,-1.0 to 1.0,0
subjectivity_id,float,"Subjectivity score (PROXY ONLY, not computed for Indonesian)",-,0.0 to 1.0,0
complexity_id,float,Text complexity score,-,>=0,0
lexical_diversity_id,float,Unique words / total words,-,0.0 to 1.0,0
text_english,string,English translation via Google Translate,-,-,empty string if failed
char_count_en,integer,Character count (English),characters,>=0,0
word_count_en,integer,Word count (English),words,>=0,0
sentiment_en,float,Sentiment polarity (English - TextBlob),-,-1.0 to 1.0,0
subjectivity_en,float,Subjectivity score (English),-,0.0 to 1.0,0
complexity_en,float,Text complexity score (English),-,>=0,0
lexical_diversity_en,float,Unique words / total words (English),-,0.0 to 1.0,0
has_numbers,boolean,Contains numeric expressions,-,true/false,false
number_count,integer,Count of numeric expressions,count,>=0,0
has_vague_quantifiers,boolean,"Contains vague quantifiers (sekitar, kira-kira, etc)",-,true/false,false
has_exact_quantifiers,boolean,"Contains exact quantifiers (tepat, persis, etc)",-,true/false,false
number_word_ratio,float,Ratio of number words to total words,-,0.0 to 1.0,0
has_large_numbers,boolean,Contains numbers > 1000,-,true/false,false
has_decimal_numbers,boolean,Contains decimal numbers,-,true/false,false
mfcc1_mean,float,MFCC coefficient 1 mean,-,real,0
mfcc1_std,float,MFCC coefficient 1 std deviation,-,>=0,0
mfcc2_mean,float,MFCC coefficient 2 mean,-,real,0
mfcc2_std,float,MFCC coefficient 2 std deviation,-,>=0,0
mfcc3_mean,float,MFCC coefficient 3 mean,-,real,0
mfcc3_std,float,MFCC coefficient 3 std deviation,-,>=0,0
mfcc4_mean,float,MFCC coefficient 4 mean,-,real,0
mfcc4_std,float,MFCC coefficient 4 std deviation,-,>=0,0
mfcc5_mean,float,MFCC coefficient 5 mean,-,real,0
mfcc5_std,float,MFCC coefficient 5 std deviation,-,>=0,0
mfcc6_mean,float,MFCC coefficient 6 mean,-,real,0
mfcc6_std,float,MFCC coefficient 6 std deviation,-,>=0,0
mfcc7_mean,float,MFCC coefficient 7 mean,-,real,0
mfcc7_std,float,MFCC coefficient 7 std deviation,-,>=0,0
mfcc8_mean,float,MFCC coefficient 8 mean,-,real,0
mfcc8_std,float,MFCC coefficient 8 std deviation,-,>=0,0
mfcc9_mean,float,MFCC coefficient 9 mean,-,real,0
mfcc9_std,float,MFCC coefficient 9 std deviation,-,>=0,0
mfcc10_mean,float,MFCC coefficient 10 mean,-,real,0
mfcc10_std,float,MFCC coefficient 10 std deviation,-,>=0,0
mfcc11_mean,float,MFCC coefficient 11 mean,-,real,0
mfcc11_std,float,MFCC coefficient 11 std deviation,-,>=0,0
mfcc12_mean,float,MFCC coefficient 12 mean,-,real,0
mfcc12_std,float,MFCC coefficient 12 std deviation,-,>=0,0
mfcc13_mean,float,MFCC coefficient 13 mean,-,real,0
mfcc13_std,float,MFCC coefficient 13 std deviation,-,>=0,0
delta_mfcc1_mean,float,Delta MFCC coefficient 1 mean,-,real,0
delta_mfcc1_std,float,Delta MFCC coefficient 1 std deviation,-,>=0,0
delta_mfcc2_mean,float,Delta MFCC coefficient 2 mean,-,real,0
delta_mfcc2_std,float,Delta MFCC coefficient 2 std deviation,-,>=0,0
delta_mfcc3_mean,float,Delta MFCC coefficient 3 mean,-,real,0
delta_mfcc3_std,float,Delta MFCC coefficient 3 std deviation,-,>=0,0
delta_mfcc4_mean,float,Delta MFCC coefficient 4 mean,-,real,0
delta_mfcc4_std,float,Delta MFCC coefficient 4 std deviation,-,>=0,0
